US State,C1,C2,C3,C4,C5,C6,C7,C8,C9
Alabama,-0.021838683958292367,-0.12936505289196382,-0.059604081709275974,0.21031444835378588,-0.24627980655883464,1.5779863767263054,-0.06492712012515393,-3.442543100820168,-2.0360363778548782
Alaska,-0.8988644111810182,0.1767239694012519,-0.15344649831443471,-0.04554905373289493,0.15050630364242717,-0.9077560759225328,-0.045863141424538865,0.1293104772567402,-0.3224521384258869
Arizona,0.05549645726735413,1.4938115109775032,-0.43670916850458635,-1.480652509099394,1.6002505646401286,0.9292044960999513,0.9697948577322755,1.6372685424387903,1.002301413056226
Arkansas,-0.328040914975973,-0.044677241705866455,0.15223596310693874,-0.07110828099967006,-0.057785355337429796,1.1729242789718544,-0.1548820364321498,1.4013841701356267,-1.5253647763545284
California,4.1182153417844445,2.170594081290069,-4.309387504248876,1.6560060639795189,-0.9365343805710336,-0.7594553114261969,-0.6420397514679012,0.5621631127479205,-0.7506030997156373
Colorado,-0.27009637292781696,1.164494707847139,0.2872934329169186,-0.9121778260790326,2.5813408077310256,0.09312057882208906,-1.2288912030127754,-1.0692216591409454,0.3957363255021486
Connecticut,-0.48285977388015355,-0.3905918345050462,-0.21073526832368328,0.27565924487039734,-0.32172240781509015,-0.4327256878766862,0.24017673045750096,-0.8868065862317747,0.4034756103772508
Delaware,-0.8166150798520401,-0.05168626892839367,-0.1673442058567621,0.23571304530136336,-0.936348758433531,-0.5906613916867129,0.05700310603615781,-0.27288680151863,-0.22839551138465705
District of Columbia,-0.9098693701989149,-0.0318909493419368,-0.282874228845103,0.13116913031413127,-0.7679418677279992,-0.9243093196126994,0.4778502594327957,0.046382436419003324,-0.4367174455739554
Florida,2.526178260657899,0.3983885935685302,1.785753174874738,-5.02388319607572,-2.294466347911006,-1.2446571696659623,-1.1921981461128786,-1.1348145342654994,-0.0736593968795506
Georgia,0.5463595106077217,0.3826284332242902,1.1737514338311983,1.3932789528675396,-0.150119220836329,0.9461602212085996,0.32962758579348883,-0.6015600700760075,0.34374254072394395
Hawaii,-0.741606086706406,-0.38013869401923395,-0.7732215829227248,0.5315227250824958,0.24105975298339571,-0.8855877124115936,-1.5990958744023556,-0.7398761940919131,-1.247897822498877
Idaho,-0.716505557554978,0.33831658754573596,-0.1961309328555723,-0.22324529919237954,0.3354661133154365,-0.4030896129686423,-0.010410855340957034,-0.38677436372804136,-0.22391289550526727
Illinois,0.9571818701234063,-1.6256819083242853,0.9690004135122756,1.3905191856857135,-0.9896054242108355,-0.4134878646699639,-1.7226175000291089,-1.2163164302768932,0.6485291209181322
