,Varianta,Procentul variantei,Procentul cumulat
F1,3.1709457221529687,35.232730246144094,35.232730246144094
F2,2.818384472972123,31.315383033023586,66.54811327916768
F3,2.714235257001602,30.158169522240026,96.7062828014077
F4,0.174376222203466,1.937513580038511,98.64379638144621
F5,0.0318556562218053,0.3539517357978366,98.99774811724404
F6,0.017172241622594397,0.1908026846954933,99.18855080193953
F7,0.004795417988429783,0.05328242209366425,99.2418332240332
F8,0.0,0.0,99.2418332240332
F9,0.0,0.0,99.2418332240332
