US State,C1,C2,C3,C4,C5,C6,C7,C8,C9
Kentucky,0.5207525472709978,0.05154662971588102,0.12348500684895858,0.008769557168565187,0.006264403055893535,0.22381180278209092,0.00656039283336754,0.04809626958185785,0.01071339074238749
Louisiana,0.6902771285426753,0.0014936422900099664,0.10052324351655127,0.13292027329003428,0.03504821876773372,0.005629748630401632,0.02664065589679536,0.0040126711337354634,0.0034544179320629667
Maine,0.9981781941947543,9.540091175567747e-05,0.0006440400751079974,2.6413301379806036e-07,0.0007186920943854669,6.736233560347144e-05,0.00011619093148164119,7.207412598935217e-05,0.00010778119790830925
Maryland,0.6211333018943758,0.1668462120549701,0.004899432154495962,0.015692586194150863,0.02796029102407443,0.1575130453353221,0.0023600482064751018,0.001826314993292682,0.0017687681428430815
Massachusetts,0.05090716971313812,0.732263166366535,0.004087743822763447,0.10823798503577803,0.00045491075293980446,0.00910933575583196,0.025311655793281106,0.009062187030675425,0.060565845729057134
Michigan,0.9769549602792078,0.0019166280132611178,0.004878047773090449,0.00042592575203958546,0.0016454549056152108,0.0029091216594928325,0.010162991504382024,0.0007968135508248311,0.00031005656208605675
Minnesota,0.7407120940903762,0.18825509750726643,0.03834396619333784,0.0017419335209420178,0.0030720387863033796,4.5206437848176146e-05,0.002204066904813188,0.0023552037150741494,0.02327039284403862
Mississippi,0.9381138930523277,0.006546597770020677,0.0034859741702661907,0.018426009037947406,0.021419786370444702,0.0027565427825857448,3.625343312663207e-09,0.006213658426769398,0.0030375347642946737
Missouri,0.5834554472122138,0.04924714867803091,0.24235773438465866,0.0383737104067154,0.03035540779025232,0.03400018999549959,0.00888207109917264,0.011365008323627097,0.0019632821098295493
Montana,0.9968314542681127,0.0009174311981211318,0.0002970651679615953,0.0011150566592121665,0.00029964924581384083,0.00041079463587791036,7.99987403055064e-05,5.7896916527936914e-08,4.849218767857057e-05
Nebraska,0.9928590282075768,3.479990079399582e-05,0.0045667211984779495,0.0005010849071664632,0.0013051602539709951,0.00033482495140411966,3.383083296259641e-05,0.00035878965352238685,5.760094124638074e-06
Nevada,0.9633584687605194,5.749760777126553e-06,0.005017248443873456,0.010286779369274735,0.018406552357300095,1.8225837102909686e-07,0.000634014152225949,0.0017496519237389819,0.0005413529739194197
New Hampshire,0.9980579014393418,0.0002283097102951943,0.0010260618854802989,0.00019343933892003893,2.0994049876684897e-05,0.0004011064108360918,5.694556201454495e-05,1.1533982938747165e-08,1.5230069252389806e-05
New Jersey,0.5288188004967194,0.19803148990606495,0.02349433308998395,0.0893429928328317,0.06100171471907702,0.021389246070183526,0.07239916198700287,0.0012610730059602199,0.004261187892176227
New Mexico,0.99062291682099,0.001565329886480229,5.825269841384685e-05,0.001195900044202106,0.002156582521479266,0.0012739417729039362,0.0005407482441711617,0.0022873237413537904,0.00029900427000563413
New York,0.8144130936389681,0.14536105432920363,0.02930575509095713,0.005038243897562893,0.005194085651458291,2.2416234921733034e-05,0.0006338233711954888,3.056063046390301e-05,9.671552686966841e-07
North Carolina,0.9566892600562577,0.0017612779962771694,0.005414205609728331,0.013364690307436795,0.00020977852708092557,0.0049693829983239075,0.016356895194528792,0.0011278128820960977,0.00010669642827033647
North Dakota,0.996522022814613,0.00042617024997581177,0.001331025632255571,0.0005529376572705607,0.0005036764549438403,0.00059407884125754,7.1894352813342465e-06,5.015083249591458e-06,5.788383115277559e-05
Ohio,0.9876529323612421,0.0009489600215217231,0.0028978062419712384,0.0006786336929034505,0.004230814799650648,0.0029824648667762924,0.00012239241270001227,0.0004779792020342582,8.016401200201974e-06
Oklahoma,0.7534421828030196,0.047329835361285,0.006384748102719354,0.13039418015237242,0.00026995037357158515,0.022257842152741972,0.029466105842269247,0.005766494428729498,0.004688660783291454
Oregon,0.8332001243791767,0.11503216256345736,0.014399818600082584,0.022120532324300217,0.004346279343398538,0.007956299997233116,0.0007376183120411535,0.0005672000815880288,0.001639964398722456
Pennsylvania,0.947329669006451,0.032299748846072285,0.01566248424373743,0.0008536154796923461,0.0018025539814788148,0.0015054869447335155,0.00020517532500097038,0.00030565281716335424,3.561335567024121e-05
Rhode Island,0.9952792527517699,3.527712604783953e-05,0.001697539762116897,0.0004647651672877429,0.0018039888509138924,0.000432086058888461,0.00028631531207090003,9.65783912686193e-08,6.783925132028301e-07
South Carolina,0.479109502505309,0.29332390095335237,0.08977675531260527,0.019072122719471257,0.09675319803501613,0.00258825682911837,0.013485162691286905,0.0020515701069026677,0.0038395308469380174
South Dakota,0.9947974348782583,0.0006423307352051984,0.003918915115140455,6.6920799418569956e-06,0.000215151912625126,0.00036959126035092355,1.9689155323537895e-06,7.419229865899895e-06,4.049587307985534e-05
Tennessee,0.8309538212190618,0.000631996676190334,0.0352695584171154,4.313788650286556e-05,0.0037795663574654434,0.10406049205872656,0.0043313506022269,0.02046286647876938,0.00046721030394130346
Texas,0.96673450628581,0.006047582246997789,0.022364871831310307,0.002002298795031907,0.0021594627298513664,0.0002336388488675617,0.0004328234562485029,1.159186464684023e-06,2.365661941788279e-05
Utah,0.9587668942609545,0.014925508618219169,0.00039571129478632245,0.0018654102862285034,0.01747511046877581,0.004698687186528116,0.00050158343471939,0.000458945872919623,0.0009121485768685303
Vermont,0.9947182824165738,0.0008749884027636211,0.002455489511726124,1.0348243220999484e-06,0.0011150791464966485,0.00035344840505012367,0.0004228160732335953,4.901334946035842e-05,9.847870373603686e-06
Virginia,0.6631792475948435,0.03291649035667467,0.18721542839340652,0.05549021091444411,0.005052160029924992,0.03794392745259968,0.006916749401265125,0.005700504047314669,0.005585281809526727
Washington,0.03504526455354273,0.6229777992915224,0.2165099820510105,0.028023295049075247,0.07107774787548016,0.0001928806938243965,0.0029355500128790493,0.01067643006921714,0.012561050403448406
West Virginia,0.989959767221761,0.00012127949255278811,2.4061588996331477e-05,0.0013750415766443191,0.001866183345495452,0.0007950988512576898,0.00043294369436738903,0.005355099656426321,7.05245724985929e-05
Wisconsin,0.6610993828133872,0.09406173972916526,0.0006585946295257093,0.03909346462265923,0.07833070270500676,0.0003688176796951068,0.04972062218760342,0.03340899535066631,0.04325768028229101
Wyoming,0.998189385356308,0.00034456665619169433,0.0010933698243751695,5.369016396363138e-06,5.7304290447413406e-05,0.0002529614446060897,2.728627176971089e-07,1.5160064954639795e-05,4.1610484003026896e-05
